,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
04-03-2020,0,3,1,0,0,0,14,2,0,1,2,0,2,10,9,0,0,0,6,1,1,1,0,5,1,1,1,0,0,2,2,2,67
05-03-2020,3,0,2,0,0,1,16,2,1,2,3,0,1,3,4,0,0,0,7,0,0,0,2,1,2,1,1,1,1,4,6,0,64
06-03-2020,2,0,0,0,0,0,14,0,0,1,0,0,1,8,7,0,1,1,4,1,0,0,3,0,1,1,0,2,1,5,0,0,53
07-03-2020,0,2,1,0,0,1,6,1,0,0,1,0,2,2,1,1,0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,24
08-03-2020,1,0,0,0,0,0,7,4,0,1,0,2,0,2,5,0,0,0,3,0,0,0,1,0,1,1,0,2,0,2,0,0,32
09-03-2020,0,5,3,0,0,0,19,4,1,6,3,5,2,3,7,0,0,1,9,1,0,0,2,0,2,2,0,0,1,3,1,0,80
10-03-2020,3,4,2,0,0,1,27,6,0,0,3,0,3,11,9,0,1,0,7,1,2,0,1,2,3,1,1,3,2,2,1,2,98
11-03-2020,1,4,1,0,1,0,33,2,3,1,1,0,3,9,13,1,1,0,9,3,12,2,2,1,0,0,2,0,0,2,0,2,109
12-03-2020,4,5,2,0,1,1,54,5,3,3,8,0,4,14,11,1,1,0,25,2,5,1,3,3,3,2,0,2,2,3,5,3,176
13-03-2020,1,13,2,0,2,1,49,3,0,1,9,5,0,18,24,8,0,0,40,2,10,7,4,3,2,2,2,2,1,9,2,2,224
14-03-2020,1,4,1,0,3,2,36,2,0,1,2,0,0,5,15,1,1,0,14,3,5,4,3,2,3,0,0,0,1,5,0,0,114
15-03-2020,9,2,1,1,1,2,31,5,2,1,3,1,0,14,9,0,2,1,6,1,4,3,6,13,4,1,1,2,0,2,6,1,135
16-03-2020,8,8,3,1,2,0,46,8,0,0,8,2,1,13,18,3,0,3,26,3,4,4,11,5,3,2,2,0,1,6,5,1,197
17-03-2020,5,11,3,0,1,6,75,6,0,4,10,3,11,37,42,4,1,1,43,5,17,2,11,9,6,9,1,5,0,28,5,3,364
18-03-2020,17,26,6,0,2,1,87,12,3,2,13,2,2,45,21,7,2,2,35,5,25,9,12,2,13,13,1,3,3,18,8,7,404
19-03-2020,12,20,2,0,2,7,92,11,2,6,27,2,4,53,44,8,6,0,48,7,26,14,13,8,10,8,9,6,8,15,13,3,486
20-03-2020,17,36,6,0,3,7,77,11,0,0,25,2,23,40,30,7,8,1,42,1,34,6,6,11,12,7,6,3,6,19,21,7,474
21-03-2020,12,18,6,0,7,2,34,12,1,1,40,0,1,31,24,7,1,2,30,2,16,16,6,14,5,6,7,5,3,6,9,7,331
22-03-2020,20,11,0,2,1,6,20,14,1,0,14,1,0,33,14,6,2,1,33,4,7,4,6,13,6,3,11,10,4,2,11,6,266
23-03-2020,18,59,11,0,2,6,66,9,6,7,47,13,11,91,65,12,11,5,63,7,26,17,13,25,23,10,18,11,8,17,16,10,703
24-03-2020,33,44,9,2,14,4,147,20,8,13,55,6,16,98,73,14,11,3,97,11,35,20,20,39,38,22,6,13,6,40,26,26,969
25-03-2020,26,54,17,2,8,18,149,42,5,9,84,12,16,117,79,33,13,5,100,21,40,16,24,39,34,28,17,12,5,46,14,17,1102
26-03-2020,38,53,14,4,6,15,129,31,4,18,88,14,37,77,79,19,11,10,54,16,38,29,27,39,30,21,35,23,14,60,11,12,1056
27-03-2020,36,57,17,6,17,16,188,56,1,19,72,19,34,124,145,21,8,12,73,36,24,22,22,53,38,23,27,14,19,40,15,9,1263
28-03-2020,17,29,7,2,7,7,66,21,1,3,64,10,15,55,64,15,7,10,41,6,10,15,7,29,12,17,21,5,7,19,18,2,609
29-03-2020,29,17,10,5,10,7,68,37,3,3,19,11,12,67,64,10,14,8,37,14,21,9,6,29,18,13,8,11,7,15,14,5,601
30-03-2020,39,50,29,7,16,16,148,68,5,6,85,27,22,108,180,34,12,15,74,10,62,22,36,39,40,40,44,19,19,57,28,10,1367
31-03-2020,27,41,31,7,19,14,147,54,5,11,91,20,16,103,124,20,15,9,71,19,32,37,27,45,25,32,47,23,13,63,22,11,1221
01-04-2020,40,39,29,3,19,7,144,55,8,15,79,17,20,89,131,29,18,14,95,25,27,28,17,59,45,34,36,32,21,48,29,7,1259
02-04-2020,43,34,28,7,19,14,209,95,3,33,98,18,15,93,131,25,17,9,76,45,34,21,21,51,36,28,25,24,15,59,35,29,1390
03-04-2020,39,28,27,5,15,10,250,119,5,13,84,10,23,120,157,36,13,6,86,26,41,20,17,32,39,22,35,24,13,43,29,12,1399
04-04-2020,31,15,21,2,11,11,102,60,0,27,31,7,9,113,104,22,13,9,47,12,18,3,8,26,52,15,19,10,4,15,15,14,846
05-04-2020,12,8,13,1,5,9,64,79,3,11,17,4,6,83,50,13,5,3,30,7,25,6,14,19,16,12,20,14,8,9,15,6,587
06-04-2020,40,33,59,5,10,15,229,134,1,23,71,12,16,145,128,29,21,14,97,16,52,22,16,32,41,28,30,24,17,52,23,10,1445
07-04-2020,34,32,34,8,9,13,337,124,3,21,72,14,19,118,165,25,16,9,109,12,47,20,23,43,28,28,30,34,17,50,27,12,1533
08-04-2020,31,25,45,6,17,15,396,115,6,15,83,14,16,103,167,34,21,10,98,17,57,14,16,56,43,36,26,49,16,51,30,22,1650
09-04-2020,2,26,41,2,3,19,291,75,1,5,63,13,11,79,90,33,12,9,235,7,29,5,15,32,20,16,9,15,27,23,16,5,1229
10-04-2020,16,37,18,2,7,12,308,112,1,7,56,14,4,76,124,25,9,4,343,8,17,21,13,25,31,25,8,41,19,24,15,7,1429
11-04-2020,22,14,19,2,6,17,121,53,6,2,54,9,1,78,67,11,13,3,277,15,10,14,11,28,24,12,7,11,8,25,18,5,963
12-04-2020,13,11,12,23,5,14,99,30,2,3,16,10,3,52,62,17,8,4,220,6,24,12,6,24,8,7,8,23,6,13,17,3,761
13-04-2020,47,33,43,19,14,31,399,106,4,13,60,23,11,112,232,46,22,12,185,19,73,25,23,52,61,38,17,67,49,58,44,13,1951
14-04-2020,42,42,32,10,20,21,462,113,3,17,77,17,18,91,214,38,27,12,301,11,53,18,13,51,39,30,32,64,47,62,35,13,2025
15-04-2020,61,38,37,7,14,26,402,84,9,18,117,24,9,108,190,47,22,13,269,10,41,19,16,29,45,36,22,72,18,52,25,13,1893
16-04-2020,35,43,23,10,11,21,396,142,2,18,103,22,5,105,166,82,17,10,224,6,34,11,16,30,31,31,31,65,10,37,22,10,1769
17-04-2020,22,44,17,5,16,14,504,110,3,15,156,20,15,133,183,108,15,7,158,15,41,10,9,36,36,35,47,70,30,52,34,7,1967
18-04-2020,18,14,12,7,12,9,126,40,1,5,62,10,20,64,83,26,5,10,57,6,18,9,16,27,14,23,22,72,15,23,21,25,872
19-04-2020,28,13,9,5,9,14,126,16,7,6,35,14,8,34,92,21,11,3,59,6,17,11,9,28,21,25,52,38,2,27,41,10,797
20-04-2020,84,51,19,23,20,29,453,110,8,20,171,30,17,183,227,63,24,17,124,14,52,19,15,38,34,35,35,108,21,79,42,22,2187
21-04-2020,62,56,29,12,35,30,469,85,6,34,201,32,17,147,184,55,23,12,64,7,27,17,16,40,20,35,46,49,22,73,35,22,1962
22-04-2020,47,46,13,5,13,26,443,83,6,10,223,18,16,200,191,43,13,12,49,7,30,9,10,32,23,41,66,89,17,60,31,28,1900
23-04-2020,90,38,9,7,23,36,365,87,5,45,230,16,30,277,179,61,15,8,65,11,41,10,9,62,26,30,76,90,23,71,48,23,2106
24-04-2020,88,36,11,30,22,36,465,120,2,26,201,16,13,293,255,57,12,18,74,21,46,16,17,63,48,40,82,101,24,61,40,23,2357
25-04-2020,6,20,7,8,20,25,182,44,0,10,104,9,11,125,125,51,7,20,107,17,33,9,15,22,20,15,39,47,24,36,21,12,1191
26-04-2020,24,14,20,7,14,19,158,38,4,8,38,17,5,91,94,18,8,19,86,4,20,7,7,27,21,23,24,47,9,20,9,37,937
27-04-2020,87,48,13,11,15,51,541,95,5,13,194,26,17,175,224,57,15,30,172,16,58,23,17,52,45,32,65,147,40,60,80,39,2463
28-04-2020,92,47,19,10,22,45,622,89,4,24,311,41,23,128,264,70,11,20,184,17,50,19,13,54,58,25,34,130,46,48,57,25,2602
29-04-2020,114,47,22,7,13,42,678,132,14,32,333,27,12,186,335,78,21,18,203,20,46,13,19,52,32,41,76,130,17,59,99,19,2937
30-04-2020,128,65,21,11,14,42,844,155,5,43,361,34,29,155,450,91,21,18,147,17,58,16,19,62,96,47,58,147,38,44,60,10,3306
01-05-2020,18,37,13,9,20,33,280,97,2,11,155,23,18,98,292,38,7,12,130,11,27,13,8,44,66,25,32,88,10,39,31,18,1705
02-05-2020,17,15,3,8,10,37,263,41,7,77,74,44,11,64,289,33,2,17,101,23,24,10,6,25,50,20,30,62,30,24,20,11,1448
03-05-2020,138,27,5,9,12,13,297,49,7,22,53,32,14,44,271,33,10,15,105,13,26,6,9,33,23,24,54,48,11,37,44,7,1491
04-05-2020,95,42,22,18,49,52,838,120,7,30,239,43,28,178,607,79,24,24,224,7,61,17,16,55,100,49,76,91,25,48,72,37,3373
05-05-2020,78,25,16,7,39,59,631,134,2,38,228,39,38,98,499,73,13,19,238,17,43,15,26,42,91,38,82,111,30,41,65,23,2898
06-05-2020,77,42,25,13,23,59,871,70,15,36,267,56,31,122,674,86,44,32,143,12,50,10,23,84,89,47,74,87,41,55,64,13,3335
07-05-2020,150,45,23,12,24,61,723,105,10,38,283,45,41,158,596,71,26,32,148,20,72,12,36,64,95,57,93,115,26,44,75,36,3336
08-05-2020,37,53,31,10,33,41,849,164,6,47,282,53,42,181,707,90,30,24,174,17,86,23,18,104,84,93,94,84,35,64,54,35,3645
09-05-2020,46,27,15,25,21,26,312,78,4,12,91,32,14,222,280,41,10,7,183,16,66,11,17,34,37,41,74,51,32,29,24,13,1891
10-05-2020,40,52,6,7,9,12,205,21,8,5,49,23,6,85,224,32,9,12,183,18,23,21,16,28,27,17,45,29,18,24,40,5,1299
11-05-2020,125,77,23,16,36,54,700,153,6,50,317,67,34,209,720,154,38,18,217,33,55,18,26,81,69,82,96,119,27,71,68,26,3785
12-05-2020,207,81,29,13,23,64,794,158,9,39,273,57,22,190,740,120,41,33,224,39,88,33,26,98,99,68,86,105,37,58,57,20,3931
13-05-2020,58,51,6,15,23,61,809,95,7,34,267,64,33,193,572,124,30,26,266,47,75,50,30,98,60,89,84,141,59,69,81,31,3648
14-05-2020,63,55,10,22,34,46,808,106,10,29,318,43,58,337,524,145,32,23,289,19,108,49,37,78,84,73,126,208,62,54,65,26,3941
15-05-2020,31,81,22,29,44,48,821,94,16,76,318,55,35,261,496,206,53,20,203,28,106,43,29,109,82,97,139,254,64,58,63,31,4012
16-05-2020,35,15,11,32,32,30,319,66,8,14,112,43,36,144,211,73,12,27,192,34,43,41,14,51,38,33,72,112,30,37,28,23,1968
17-05-2020,31,10,3,6,10,20,198,45,15,8,50,31,14,73,147,31,13,8,109,28,31,27,13,32,34,29,58,21,13,31,28,10,1177
18-05-2020,41,56,7,15,40,52,877,160,17,22,351,59,51,208,486,113,47,28,280,72,142,65,39,93,99,60,129,234,49,82,75,42,4091
19-05-2020,55,35,17,16,35,55,865,104,15,32,274,20,48,169,401,154,34,14,302,80,118,64,26,95,64,61,133,193,53,71,71,22,3696
20-05-2020,67,41,18,12,26,27,899,156,13,28,250,24,36,194,587,133,30,25,269,44,154,41,25,78,73,65,159,135,72,63,69,30,3843
21-05-2020,59,35,32,19,41,25,787,131,13,43,249,22,30,209,433,124,32,40,113,33,140,40,29,54,64,75,159,138,100,75,58,14,3416
22-05-2020,42,54,32,24,33,9,800,73,13,38,252,4,54,208,364,135,33,26,49,33,112,45,31,57,61,51,179,197,91,51,52,25,3228
23-05-2020,45,32,24,16,14,2,282,13,5,7,94,0,17,112,64,37,5,15,21,16,77,21,20,51,15,19,82,35,28,40,16,5,1230
24-05-2020,28,14,11,15,9,0,150,21,6,8,41,0,10,44,31,20,9,4,27,9,33,16,17,39,25,19,69,113,12,10,31,11,852
25-05-2020,17,5,16,18,16,0,432,4,8,22,180,0,21,109,90,29,22,11,45,31,118,14,10,90,13,0,69,64,39,7,26,12,1538
26-05-2020,4,0,0,1,0,0,51,0,0,3,2,0,2,3,6,0,0,0,7,0,15,1,0,2,0,0,0,1,21,0,5,0,124
27-05-2020,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Total,3400.0,2659.0,1328.0,689.0,1220.0,1708.0,27294.0,5538.0,415.0,1477.0,9615.0,1581.0,1431.0,9285.0,16715.0,3725.0,1203.0,965.0,9628.0,1318.0,3496.0,1419.0,1314.0,3260.0,2988.0,2395.0,3653.0,4889.0,1780.0,3135.0,2579.0,1167.0,133269.0
