,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
23-04-2020,0,15,0,2,1,2,27,2,0,0,3,3,2,1,28,3,6,0,1,4,5,0,7,1,7,1,9,3,1,2,4,1,141
24-04-2020,0,21,1,2,0,14,37,2,0,1,1,1,0,3,43,2,3,0,1,1,4,0,16,0,6,1,8,1,1,4,2,0,176
25-04-2020,0,12,0,2,0,5,40,2,0,1,2,4,7,2,38,4,5,0,1,0,4,1,10,0,11,1,10,3,2,9,2,0,178
26-04-2020,0,14,2,1,0,5,42,2,1,0,2,1,5,0,54,3,8,1,1,1,6,1,10,1,10,0,9,1,2,10,1,1,195
27-04-2020,1,27,0,1,1,5,40,0,0,0,0,8,1,1,35,1,4,1,2,3,4,1,14,0,9,3,5,2,4,5,1,1,180
28-04-2020,1,14,1,0,1,4,34,2,0,1,0,3,5,3,33,3,5,0,1,0,11,0,8,0,5,1,8,1,4,3,3,1,156
29-04-2020,0,24,1,3,1,7,48,0,0,0,2,1,2,2,40,5,9,0,2,1,6,1,12,1,10,1,8,0,5,11,3,1,207
30-04-2020,1,19,0,0,1,8,60,0,0,0,3,2,1,2,33,5,6,0,1,4,5,1,10,1,8,0,9,3,3,3,1,1,191
01-05-2020,0,18,0,2,1,11,52,0,0,1,3,1,7,0,44,2,12,0,1,1,7,1,12,0,12,1,16,2,2,5,2,1,217
02-05-2020,0,20,0,2,4,6,42,1,1,2,2,5,2,4,42,1,12,1,3,1,4,1,5,0,4,1,12,3,3,15,3,3,205
03-05-2020,0,8,1,1,0,8,53,1,0,1,3,3,6,3,40,1,9,2,2,1,11,1,8,1,6,0,10,1,1,11,2,3,198
04-05-2020,1,22,0,0,0,8,44,3,1,0,3,3,8,3,56,2,14,3,1,4,7,2,4,2,9,1,13,1,6,10,2,1,234
05-05-2020,0,19,0,1,3,4,55,1,1,0,2,4,7,3,32,3,11,2,3,3,9,1,6,1,17,0,4,1,3,12,7,1,216
06-05-2020,3,19,2,1,1,9,54,3,0,0,3,9,7,5,35,0,13,0,1,4,8,0,7,1,6,0,12,3,3,14,4,0,227
07-05-2020,3,18,0,1,1,14,45,1,0,0,3,5,8,3,32,2,10,1,1,4,9,0,7,1,10,3,8,4,2,10,3,0,209
08-05-2020,1,19,2,1,2,9,50,1,0,2,6,3,9,0,30,4,8,1,0,4,6,0,5,1,9,1,20,6,7,15,2,0,224
09-05-2020,0,22,0,3,4,5,42,1,0,1,4,10,6,3,31,4,9,0,2,4,4,0,7,1,3,1,12,3,1,23,0,1,207
10-05-2020,1,15,1,1,6,8,53,1,0,0,1,4,10,3,32,3,6,2,2,1,4,4,8,0,2,3,11,3,1,20,6,1,213
11-05-2020,0,19,1,1,3,7,50,2,1,0,3,6,7,2,29,3,5,1,3,3,9,2,5,1,7,2,11,3,10,20,4,0,220
12-05-2020,0,14,0,2,6,6,52,0,0,0,1,5,10,2,24,2,6,0,3,5,6,3,11,1,12,1,9,3,9,14,7,1,215
13-05-2020,1,16,1,1,5,9,57,0,0,1,4,5,7,3,39,4,8,0,4,6,8,0,7,0,4,4,11,4,4,12,4,1,230
14-05-2020,1,16,1,4,3,6,61,0,0,2,2,7,10,4,33,7,4,4,2,5,7,2,8,1,16,2,11,4,2,28,4,1,258
15-05-2020,1,15,0,4,2,7,56,2,1,3,4,12,12,7,33,3,4,2,3,4,8,5,8,2,13,3,15,2,8,18,2,2,261
16-05-2020,1,17,1,2,1,3,59,3,1,2,3,14,5,9,29,4,5,2,2,3,3,8,4,3,7,5,12,3,9,10,3,0,233
17-05-2020,4,14,1,0,3,2,52,1,0,1,1,14,8,5,42,5,7,3,2,6,5,8,4,5,9,3,13,0,6,14,7,1,246
18-05-2020,0,27,1,2,4,9,62,0,1,0,5,10,8,3,29,3,3,2,4,5,3,1,8,1,15,7,10,2,2,23,2,0,252
19-05-2020,0,21,0,2,10,5,57,0,0,0,3,6,5,1,37,4,4,2,3,9,11,3,8,0,9,5,11,3,3,19,3,1,245
20-05-2020,0,18,1,3,5,5,40,0,2,2,1,5,10,5,30,8,3,0,3,4,12,5,2,3,11,8,12,1,1,21,7,0,228
21-05-2020,2,17,0,1,1,1,45,0,1,1,1,6,13,9,33,7,6,2,3,2,5,7,3,1,22,4,11,3,3,12,3,0,225
22-05-2020,1,12,1,0,9,6,39,1,0,0,4,7,8,2,22,5,3,1,1,4,9,2,5,2,7,4,14,1,0,13,5,0,188
23-05-2020,0,10,0,0,7,4,38,0,0,0,3,4,7,3,9,1,4,0,0,3,9,3,1,2,17,4,13,2,3,9,6,1,163
24-05-2020,3,14,0,3,7,2,39,3,4,2,1,4,5,3,17,4,3,2,1,6,6,2,6,2,12,2,14,2,7,7,1,0,184
25-05-2020,0,11,0,1,6,5,32,1,0,2,3,7,4,4,17,3,0,0,4,4,6,1,5,2,3,3,6,3,0,7,2,1,143
26-05-2020,0,1,0,0,0,0,8,0,2,1,3,3,3,2,6,3,0,0,2,2,1,4,2,2,0,1,2,0,1,2,2,0,53
27-05-2020,0,0,0,0,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,9
Total,31.0,771.0,33.0,59.0,106.0,285.0,1945.0,72.0,19.0,32.0,101.0,217.0,234.0,126.0,1393.0,138.0,251.0,44.0,77.0,122.0,307.0,80.0,323.0,46.0,427.0,100.0,438.0,87.0,130.0,444.0,130.0,29.0,8597.0
